크롤링 시작 시간: 2025-12-09 16:39:38.837131
총 상품 수: 59914
이미 저장됨: 3604
크롤링 대상: 56310

❌ CSV 3718번 | ID: 4714951 | SQL 오류
❌ CSV 3719번 | ID: 3758191 | SQL 오류
❌ CSV 3720번 | ID: 3757171 | SQL 오류
❌ CSV 3721번 | ID: 2477848 | SQL 오류
❌ CSV 3722번 | ID: 1616171 | SQL 오류
❌ CSV 3723번 | ID: 5215617 | SQL 오류
❌ CSV 3724번 | ID: 4670280 | SQL 오류
❌ CSV 3725번 | ID: 4658036 | SQL 오류
❌ CSV 3726번 | ID: 3983768 | SQL 오류
❌ CSV 3727번 | ID: 3920008 | SQL 오류
❌ CSV 3728번 | ID: 3139356 | SQL 오류
❌ CSV 3729번 | ID: 4860657 | SQL 오류
❌ CSV 3730번 | ID: 4761413 | SQL 오류
❌ CSV 3731번 | ID: 4728965 | SQL 오류
❌ CSV 3732번 | ID: 4594160 | SQL 오류
❌ CSV 3733번 | ID: 4459995 | SQL 오류
❌ CSV 3734번 | ID: 4251389 | SQL 오류
❌ CSV 3735번 | ID: 3840866 | SQL 오류
❌ CSV 3736번 | ID: 3495038 | SQL 오류
❌ CSV 3737번 | ID: 1852556 | SQL 오류
❌ CSV 3738번 | ID: 5663301 | SQL 오류
❌ CSV 3739번 | ID: 4804271 | SQL 오류
❌ CSV 3740번 | ID: 4508626 | SQL 오류
❌ CSV 3741번 | ID: 3861437 | SQL 오류
❌ CSV 3742번 | ID: 2754955 | SQL 오류
❌ CSV 3743번 | ID: 2377238 | SQL 오류
❌ CSV 3744번 | ID: 2164653 | SQL 오류
❌ CSV 3745번 | ID: 2116445 | SQL 오류
❌ CSV 3746번 | ID: 4663932 | SQL 오류
❌ CSV 3747번 | ID: 4658041 | SQL 오류
❌ CSV 3748번 | ID: 4422071 | SQL 오류
❌ CSV 3749번 | ID: 4352394 | SQL 오류
❌ CSV 3750번 | ID: 5063636 | SQL 오류
❌ CSV 3751번 | ID: 4119078 | SQL 오류
❌ CSV 3752번 | ID: 3740944 | SQL 오류
❌ CSV 3753번 | ID: 3711006 | SQL 오류
❌ CSV 3754번 | ID: 2795644 | SQL 오류
❌ CSV 3755번 | ID: 1217305 | SQL 오류
❌ CSV 3756번 | ID: 4624083 | SQL 오류
❌ CSV 3757번 | ID: 4368612 | SQL 오류
❌ CSV 3758번 | ID: 4342085 | SQL 오류
❌ CSV 3759번 | ID: 4277680 | SQL 오류
❌ CSV 3760번 | ID: 3045275 | SQL 오류
❌ CSV 3761번 | ID: 2855598 | SQL 오류
❌ CSV 3762번 | ID: 5210204 | SQL 오류
❌ CSV 3763번 | ID: 4137500 | SQL 오류
❌ CSV 3764번 | ID: 4024923 | SQL 오류
❌ CSV 3765번 | ID: 3876552 | SQL 오류
❌ CSV 3766번 | ID: 3830289 | SQL 오류
❌ CSV 3767번 | ID: 2568757 | SQL 오류
❌ CSV 3768번 | ID: 4719011 | SQL 오류
❌ CSV 3769번 | ID: 4572253 | SQL 오류
❌ CSV 3770번 | ID: 4163679 | SQL 오류
❌ CSV 3771번 | ID: 3797057 | SQL 오류
❌ CSV 3772번 | ID: 3226702 | SQL 오류
❌ CSV 3773번 | ID: 1844499 | SQL 오류
❌ CSV 3774번 | ID: 1246252 | SQL 오류
❌ CSV 3775번 | ID: 369429 | SQL 오류
❌ CSV 3776번 | ID: 5291152 | SQL 오류
❌ CSV 3777번 | ID: 4896613 | SQL 오류
❌ CSV 3778번 | ID: 4730693 | SQL 오류
❌ CSV 3779번 | ID: 4467149 | SQL 오류
❌ CSV 3780번 | ID: 4446502 | SQL 오류
❌ CSV 3781번 | ID: 4441957 | SQL 오류
❌ CSV 3782번 | ID: 4322693 | SQL 오류
❌ CSV 3783번 | ID: 3816988 | SQL 오류
❌ CSV 3784번 | ID: 3804707 | SQL 오류
❌ CSV 3785번 | ID: 3495034 | SQL 오류
❌ CSV 3786번 | ID: 3485228 | SQL 오류
❌ CSV 3787번 | ID: 3206719 | SQL 오류
❌ CSV 3788번 | ID: 356851 | SQL 오류
❌ CSV 3789번 | ID: 5735604 | SQL 오류
❌ CSV 3790번 | ID: 5147096 | SQL 오류
❌ CSV 3791번 | ID: 5072100 | SQL 오류
❌ CSV 3792번 | ID: 4780667 | SQL 오류
❌ CSV 3793번 | ID: 4771293 | SQL 오류
❌ CSV 3794번 | ID: 4728668 | SQL 오류
❌ CSV 3795번 | ID: 3996995 | SQL 오류
❌ CSV 3796번 | ID: 3907850 | SQL 오류
❌ CSV 3797번 | ID: 3495030 | SQL 오류
